sector,industry,country,annual_revenue,ebitda,net_income,total_cash,total_debt,total_assets,total_liabilities,shareholders_equity,gross_margin,operating_margin,net_margin,revenue_growth,employee_count,company_age_years,free_cash_flow,operating_cash_flow,capex,customer_count,recurring_revenue_ratio,enterprise_value
Energy,Software,Singapore,388108244.03520185,61988497.351029634,61078793.845357396,35019717.43843851,7534187.831011962,954186627.3780619,553971988.0784713,400214639.2995906,0.6323353679023247,0.07562272653510918,0.1573756671858212,0.1301543751582268,2511,37.21706957624687,44751514.58568218,68892826.1881046,15927571.866452612,1860,0.2045148496062992,1252755457.6857255
Healthcare,Manufacturing,India,317673877.5654221,76089861.86020325,24373259.79026053,48549552.20754771,71449689.70577581,674501678.4245418,200542403.25117648,473959275.17336535,0.4566965520498688,0.05876075315744576,0.07672415490077894,0.01171579682701912,4141,27.955860223213275,58770369.524947785,90071744.2468029,10422173.12067646,4528,0.4226002301482271,959120502.0507647
Healthcare,Retail,USA,240473938.4818372,25665143.13524587,30581128.265885644,22139019.984180372,66614255.684627,478651512.7872425,170487685.27834052,308163827.50890195,0.6577428907673606,0.21095287149936037,0.12717023914920164,0.10499135161206978,4492,27.93482915104907,12059441.001767868,20530936.509888794,2528669.765041671,1448,0.7082319397519246,890016220.136063
Industrials,Software,USA,232163308.89147827,44618374.93340403,9836183.563175606,6169238.640030686,53472236.94323773,371661778.95468235,179370684.2230449,192291094.73163745,0.6207493715788142,0.17694366400011818,0.042367519700425196,0.17143176026319829,3908,23.249872108325714,24628229.691562887,31920383.30207679,9418915.878339086,4913,0.36767577935217255,889615250.2315072
Healthcare,Retail,UK,33859857.13608768,4074897.452869665,2267763.9737660796,33264867.478981305,44562572.18730227,72210444.03715299,38427276.6708975,33783167.36625549,0.4235127737920388,0.21280407693320696,0.06697500124266938,0.016789167963081553,1684,5.421818709474387,3101729.1200488964,3793479.3915537023,720843.3292321088,123,0.4509402975930272,93276115.80256891
Industrials,Software,UK,193605506.91775882,24273875.561214726,23396299.089110684,18409724.222392827,7011993.54528808,193723612.7830677,131915867.90867719,61807744.87439051,0.6997193798891839,0.18994142676214992,0.12084521489902215,0.056347984583807825,2241,38.82870233921351,19161201.49251048,25692564.514200885,8025975.368008754,3687,0.08675186593814936,605207983.9960724
Consumer,Software,India,105169865.573639,13302847.537004082,11850028.383991232,9250252.75549197,68529142.72739004,219750667.33808434,123001365.81524141,96749301.52284293,0.4376511718763071,0.17546176814048864,0.11267513103070335,0.18363918756509423,491,5.208884203315785,8086850.252718312,9588786.781034425,4688405.019555441,3252,0.29687509109950677,285597598.85872537
Healthcare,Healthcare Services,UK,89443519.42575862,25158675.791086722,10104414.922330488,17670055.324474435,47273239.31851334,75022234.9590332,50961074.2507795,24061160.708253704,0.46526689031859514,0.20654704545005725,0.1129697823520632,-0.016908000031024578,2946,20.49301657185009,16236239.406126698,29408308.918270595,4474051.035384132,2715,0.24027809678270423,271037818.555354
Financial Services,Manufacturing,USA,222261172.8509981,12313940.198037831,33829641.40721932,44859958.206068456,11219927.119888863,387148167.49101466,98447083.10548581,288701084.38552886,0.5697320511718964,0.10624675676780167,0.15220670787109725,0.2137690538767607,3656,31.208604692870967,5588933.861905601,14259615.67948588,5804345.942120345,3637,0.0336713005585618,668223259.5221123
Energy,Software,Germany,405084478.6718294,52371234.70000418,69862450.32200126,14900432.987935873,41204570.338537164,500336307.89776397,334235553.51442295,166100754.383341,0.29053429967011,0.0589821238784658,0.17246390321115918,0.12403882400121514,4152,39.71027143412181,44297613.573848784,56262627.43264552,29310079.610779826,1124,0.4669725243478042,1275075556.2502894
Healthcare,Healthcare Services,UK,332522325.26804173,47688500.47826748,11676410.685223125,37466085.76177679,20996841.273829173,795587048.3816261,254973943.93412322,540613104.4475029,0.2675168628263173,0.21622253442498124,0.035114666889842445,0.011313726649797608,3738,24.77654607779205,39928676.342682995,38065787.659726106,10548491.703572528,904,0.6996643544170599,1317287594.6742368
Energy,Software,UK,11898462.415559765,1278061.5311399996,488926.3209301801,34044104.34383644,9746600.37028249,19760500.95659159,10811586.953141749,8948914.003449842,0.5196141350714963,0.08995513033201152,0.04109155484584337,0.2716498104729051,736,29.185470925400463,983458.1262221322,978393.0071095524,222058.22286173084,2840,0.3578203744424466,61346725.33961472
Financial Services,Software,USA,333117785.3179733,96239665.01235741,21929608.940221846,46278017.250945345,1988759.3109005054,580903010.1181153,300319627.3813784,280583382.7367369,0.2582435720629143,0.07806791941278253,0.0658313963011288,0.1176457277265215,52,24.649617022906167,83392787.15272039,106073478.04246289,14229696.533772364,4831,0.7062871043269687,1122080207.7636712
Consumer,Logistics,India,399424458.7209551,43201823.54514379,41908866.20331028,30497783.12465054,69419116.3020809,729062341.7570466,296207665.5699338,432854676.1871128,0.4058012238739505,0.13517641727470198,0.10492313449584856,0.21077241023198967,4150,34.964644006588344,27085315.921633136,35594837.014665715,10611256.124004725,4972,0.7349118870815193,1328866956.7331243
Consumer,Business Services,Singapore,299244663.55944365,25897623.997931283,45469110.58680948,15861566.359241685,11509754.637691412,707908079.466626,200172237.85949162,507735841.60713446,0.3565960452858646,0.08072267903841174,0.1519462704730146,-0.003803974533858022,2710,4.105025548241884,12620449.173543692,18819569.40828264,15375210.901310563,115,0.6126430741195558,917197016.6479232
Energy,Retail,Singapore,438127446.40613127,115132403.8740839,11810167.792444663,9484171.275027942,18939589.68835168,536249978.1250351,260411744.12569082,275838233.9993443,0.4289443341367558,0.0598508239855188,0.026956009922046713,0.09944565538382862,2532,21.902612051270214,51905826.8435122,128571726.12540591,5974888.854600989,2026,0.08920182742188795,1528581876.6334026
Healthcare,Manufacturing,UK,489887486.8903634,122719985.07158372,70894756.7035588,32302922.16177961,62319708.36625032,503966243.01190126,235873345.64003003,268092897.37187123,0.482822578604728,0.2215144288245115,0.14471640652341264,0.1351197462374063,3925,26.303404307010183,65438181.20154775,94480178.20298287,21286301.645849362,1931,0.3752004317353965,1598108129.5140123
Industrials,Healthcare Services,Germany,167110304.38421,24208604.68572081,21677370.75785852,15195385.491278622,75908634.13722724,394011277.50108594,173544321.60927138,220466955.89181456,0.38059866275257886,0.15708695796600064,0.12971893527295125,0.2894241955094498,1844,26.798318941283878,19420043.761885896,23394254.774281032,9074797.081235228,371,0.6614038460792617,598825343.356202
Financial Services,Healthcare Services,India,431055938.82131755,35788725.07956008,50994244.51276151,5207239.537381763,58057250.26171415,406760967.4558669,271704087.37226295,135056880.08360392,0.2755743615207912,0.2417760491818161,0.11830075848670717,0.27035367043403863,2045,31.73971597592278,28543563.2213462,41980658.790188625,11956127.351172322,2972,0.5310683058224783,1357809715.6074347
Consumer,Retail,Singapore,284650552.6788587,54968193.18143756,26915880.067376997,26370272.887899578,61113871.200527035,614479707.6204767,274105023.5297289,340374684.09074783,0.5297763928374368,0.23624724713802037,0.09455762447699638,-0.0021065645995508794,873,6.449935504204199,24397880.22780709,56558513.29654772,11187501.419104349,4608,0.6041082719777333,921591820.874856
Energy,Logistics,UK,382453412.7999729,44989423.49818257,29934905.073828325,16064779.020111013,12608931.889999973,402047164.05252504,268593128.7314559,133454035.32106912,0.44084722045931435,0.12666396455548196,0.07827072284352864,0.24187428347095113,896,37.57331949986156,35548426.58215012,42275876.614996865,13900331.68306373,2769,0.8879683904318898,1651115813.3660307
Technology,Retail,USA,426014171.1994374,89151334.23030207,16830741.46353713,29618770.998476423,54887709.2084359,349721238.4645622,149386567.8289081,200334670.6356541,0.6539697311579766,0.10907180506881797,0.039507468533618015,0.1334192327194204,610,18.80793682857994,49119148.58600724,103346094.16032112,27559104.879713856,2729,0.8973311920538157,1929608641.9563372
Consumer,Healthcare Services,Singapore,419263806.93216443,32117654.86269192,75407428.59025343,33451394.437273577,52010001.24470376,399872535.4907676,259324016.91650084,140548518.57426676,0.2159497267624582,0.09816561160822941,0.17985675687587818,0.007208750066653995,4274,9.53176063409012,27470844.086958483,33021269.654979702,5253958.166291089,3886,0.004886850715830416,875171821.6424788
Energy,Software,India,123083646.2105573,32291266.688143454,3588763.464013976,40147710.75526297,74223634.41378243,260024575.92210352,142769195.5826465,117255380.33945704,0.6608891202604608,0.05803025990941329,0.02915711042452166,0.03071284428762215,4011,6.747099813614437,21062479.05363479,34635420.97405301,6658927.311146718,439,0.1396916931969818,406431256.3437096
Healthcare,Software,USA,139025581.90231112,31625007.50379488,24584278.13468125,30771408.495864943,4360025.1993036475,256881077.92069057,56815743.25436268,200065334.6663279,0.6862801412517495,0.19191565702012414,0.17683276558378908,0.019251138569001278,1868,8.974262697452122,28146686.455180086,29388497.132003784,9020767.526140725,467,0.5727675078969992,523366021.21633464
Financial Services,Software,UK,154164603.09478536,29985678.818969928,20344200.98235201,32637041.18464279,75247552.77564147,162234547.01601648,73683097.52634886,88551449.48966762,0.4222189149074213,0.14483374589652365,0.13196415113425058,-0.002312989520902163,4731,7.095595175165083,16163413.529191248,25558362.364795838,6159373.067959646,3930,0.5711662056764367,506038695.9197032
Financial Services,Manufacturing,Singapore,112726120.71499617,22215676.329634905,7972729.14081822,2284961.796729503,33472003.53254883,181041029.75613257,56628988.53389145,124412041.22224113,0.5148518632171637,0.1631543800863842,0.07072654581075806,0.23080087244414854,2744,26.7924561477992,12398726.15574045,24297643.11832702,5460465.332443337,3243,0.3882763756619011,423521375.28635144
Healthcare,Software,Germany,369669315.798699,100402452.95422113,61871239.745666906,25429829.79656341,41622009.179245524,798404283.3459352,285210246.26401836,513194037.08191687,0.6605602992897878,0.1488283293034847,0.16736915156723065,-0.003657310265892652,2573,4.738247588771861,82430073.06127009,73071294.64945823,10958033.790044315,2830,0.1556950006724344,1070068495.053912
Consumer,Business Services,Germany,12268007.562235031,3150342.834936659,1926662.1721455243,18926947.872981634,12289031.924850784,22345300.9860113,5806119.837485419,16539181.148525883,0.4007056485930389,0.2416858361801945,0.1570476837719293,0.3481857890334548,2258,13.816537376989116,2343327.464213046,3316375.9290662957,455743.21506758995,3862,0.5767997711275434,49945609.02241071
Technology,Logistics,India,86056895.60785645,7872202.282762145,13236298.076682612,49462083.63283847,44477554.24227587,191598668.09122488,133191889.55164441,58406778.539580464,0.2778777387128261,0.1396491226508702,0.15380868648803805,0.10702908633676793,2634,5.041872778555031,6121936.868361814,7217939.722485131,3687786.2847890723,4595,0.16283398700778132,279665333.0917598
Industrials,Manufacturing,UK,120261881.0471346,14793995.16260463,11837570.18636626,29529036.064232398,39463198.06805333,113406481.04753113,36498030.464640945,76908450.58289018,0.6639736116193977,0.17751774009569182,0.09843160678425383,0.20965962005370975,2045,30.990314723502106,6347426.363788548,13067597.95045492,5744539.70734874,3354,0.30461083496759345,436867745.9003245
Industrials,Retail,UK,426747680.8561787,75192032.70406373,70638843.3274647,29562635.05658054,68021943.90669774,588486909.3223374,264471006.9863486,324015902.33598876,0.49227607255251776,0.07099594317921412,0.16552835901941598,0.10942100268061623,3847,36.85883155696369,53793592.305767246,59307963.26873813,14389886.773462957,1589,0.022340818618715286,1389601236.507838
Consumer,Manufacturing,Germany,157229860.84828913,31386114.42978891,3328605.3681868613,14262094.276740285,56242677.25591141,295184695.1688357,203943983.70391375,91240711.46492195,0.5411967403119242,0.14550117472554658,0.0211703130068825,0.25457302527360304,3261,29.38644597529736,27670174.61310447,34242331.987589754,11112393.474954262,4517,0.10269366406527347,560321196.027171
Healthcare,Business Services,UK,328780692.6937666,96153156.09852414,58369256.03374562,14767298.15165131,58700279.79503329,682210736.2441882,254632722.25870284,427578013.9854853,0.2681283761753216,0.058189392057143956,0.17753249302905993,0.2609372510116714,2774,20.608590189042424,85842661.31881544,89661541.9264962,25794222.451320168,1217,0.7143139355039754,1240599322.0200748
Healthcare,Software,Singapore,402019594.5579335,113038027.06359287,60951515.183995746,2330050.9964581244,29816187.304538734,354897833.8081957,90371590.95671578,264526242.85147995,0.5714180957671163,0.19265163926233964,0.15161329449878905,0.25948827310065053,60,30.098395802107376,90479683.17694324,81893999.52258389,10620336.771878973,4328,0.5597079960377213,1733460207.1547494
Industrials,Manufacturing,Germany,340257262.6853766,19531386.92287794,28655408.193976156,44833926.628492996,53729024.7084687,409676283.2396191,256617358.45016664,153058924.78945243,0.3914172828752329,0.2206689342288119,0.08421688920854208,0.0695774604475622,2582,24.432169533559662,11688949.793339342,16355828.04721295,24518608.07908722,4333,0.07633043211218679,834371999.0518585
Industrials,Manufacturing,Singapore,404678644.95825946,121276460.66282895,27282596.202896494,20693126.58099847,10945702.242370103,719228184.9240692,502589476.74336046,216638708.1807087,0.5854845555663621,0.16904256808267437,0.06741792912178639,0.1069476371687176,2489,20.882830652953277,56658356.103530206,107049425.87358756,5949450.607079806,4577,0.18178113391990341,1178660703.5768502
Industrials,Business Services,India,174929768.87755933,27130809.976317234,30345676.40217733,37722174.51795832,43268530.9555961,224560753.2852486,145627289.07050988,78933464.21473873,0.3293034142843627,0.11506854610333542,0.17347348365513213,0.31362592576917936,3180,22.12259810083275,20922167.60436119,27005259.36089995,9750715.575305227,134,0.21723485546399662,575621230.9220767
