sector,industry,country,annual_revenue,ebitda,net_income,total_cash,total_debt,total_assets,total_liabilities,shareholders_equity,gross_margin,operating_margin,net_margin,revenue_growth,employee_count,company_age_years,free_cash_flow,operating_cash_flow,capex,customer_count,recurring_revenue_ratio,enterprise_value,cash_to_debt_ratio,debt_to_assets_ratio,revenue_per_employee,equity_ratio
Energy,Software,Singapore,388108244.03520185,61988497.351029634,61078793.8453574,35019717.43843851,7534187.831011962,954186627.378062,553971988.0784713,400214639.2995906,0.6323353679023247,0.0756227265351091,0.1573756671858212,0.1301543751582268,2511,37.21706957624687,44751514.58568218,68892826.1881046,15927571.866452612,1860,0.2045148496062992,1252755457.6857257,4.648107828463152,0.007895926870946193,154563.2194485073,0.41943014900482356
Healthcare,Manufacturing,India,317673877.5654221,76089861.86020325,24373259.79026053,48549552.20754771,71449689.70577581,674501678.4245418,200542403.25117648,473959275.17336535,0.4566965520498688,0.0587607531574457,0.0767241549007789,0.0117157968270191,4141,27.955860223213275,58770369.524947785,90071744.2468029,10422173.12067646,4528,0.4226002301482271,959120502.0507648,0.6794928348530405,0.10592959512371186,76714.29064608116,0.7026806460740161
Healthcare,Retail,USA,240473938.4818372,25665143.13524587,30581128.265885644,22139019.98418037,66614255.684627,478651512.7872425,170487685.27834052,308163827.50890195,0.6577428907673606,0.2109528714993603,0.1271702391492016,0.1049913516120697,4492,27.93482915104907,12059441.001767868,20530936.509888794,2528669.765041671,1448,0.7082319397519246,890016220.136063,0.33234657892138747,0.13917067825968954,53533.82423905548,0.6438166793089795
Industrials,Software,USA,232163308.89147827,44618374.93340403,9836183.563175606,6169238.640030686,53472236.94323773,371661778.9546824,179370684.2230449,192291094.73163745,0.6207493715788142,0.1769436640001181,0.0423675197004251,0.1714317602631982,3908,23.249872108325714,24628229.691562887,31920383.30207679,9418915.878339086,4913,0.3676757793521725,889615250.2315072,0.11537274280444831,0.14387338158266127,59407.192653909486,0.5173819467594055
Healthcare,Retail,UK,33859857.13608768,4074897.452869665,2267763.97376608,33264867.478981305,44562572.18730227,72210444.03715299,38427276.6708975,33783167.36625549,0.4235127737920388,0.2128040769332069,0.0669750012426693,0.0167891679630815,1684,5.421818709474387,3101729.1200488964,3793479.3915537023,720843.3292321088,123,0.4509402975930272,93276115.80256893,0.746475480346259,0.61712087193889,20106.803524992683,0.46784322983630616
Industrials,Software,UK,193605506.9177588,24273875.561214726,23396299.089110684,18409724.222392827,7011993.54528808,193723612.7830677,131915867.9086772,61807744.87439051,0.6997193798891839,0.1899414267621499,0.1208452148990221,0.0563479845838078,2241,38.82870233921351,19161201.49251048,25692564.514200885,8025975.368008754,3687,0.0867518659381493,605207983.9960724,2.625462231744893,0.03619586401756884,86392.46181069112,0.3190511677252427
Consumer,Software,India,105169865.573639,13302847.537004082,11850028.383991232,9250252.75549197,68529142.72739004,219750667.33808437,123001365.8152414,96749301.52284291,0.4376511718763071,0.1754617681404886,0.1126751310307033,0.1836391875650942,491,5.208884203315785,8086850.252718312,9588786.781034425,4688405.019555441,3252,0.2968750910995067,285597598.85872537,0.134982758974377,0.31184953182398567,214195.24556749288,0.4402685220245316
Healthcare,Healthcare Services,UK,89443519.42575862,25158675.79108672,10104414.922330488,17670055.324474435,47273239.31851334,75022234.9590332,50961074.2507795,24061160.708253704,0.4652668903185951,0.2065470454500572,0.1129697823520632,-0.0169080000310245,2946,20.49301657185009,16236239.406126698,29408308.918270595,4474051.035384132,2715,0.2402780967827042,271037818.555354,0.3737855831164592,0.6301230474449003,30361.004557283984,0.3207203933792774
Financial Services,Manufacturing,USA,222261172.8509981,12313940.198037831,33829641.40721932,44859958.206068456,11219927.119888864,387148167.49101466,98447083.1054858,288701084.38552886,0.5697320511718964,0.1062467567678016,0.1522067078710972,0.2137690538767607,3656,31.208604692870967,5588933.861905601,14259615.67948588,5804345.942120345,3637,0.0336713005585618,668223259.5221123,3.9982397146366493,0.02898096403917311,60793.53743189226,0.7457121294322783
Energy,Software,Germany,405084478.6718294,52371234.70000418,69862450.32200126,14900432.987935873,41204570.33853717,500336307.897764,334235553.5144229,166100754.383341,0.29053429967011,0.0589821238784658,0.1724639032111591,0.1240388240012151,4152,39.71027143412181,44297613.573848784,56262627.43264552,29310079.610779826,1124,0.4669725243478042,1275075556.2502894,0.36162088005077503,0.0823537482451837,97563.69910207838,0.33197821497551827
Healthcare,Healthcare Services,UK,332522325.26804173,47688500.47826748,11676410.685223125,37466085.76177679,20996841.273829173,795587048.3816261,254973943.9341232,540613104.4475029,0.2675168628263173,0.2162225344249812,0.0351146668898424,0.0113137266497976,3738,24.77654607779205,39928676.342683,38065787.659726106,10548491.703572528,904,0.6996643544170599,1317287594.6742368,1.7843677186089495,0.026391632840857205,88957.28337828832,0.6795147124971576
Energy,Software,UK,11898462.415559763,1278061.5311399996,488926.3209301801,34044104.34383644,9746600.37028249,19760500.95659159,10811586.953141749,8948914.003449842,0.5196141350714963,0.0899551303320115,0.0410915548458433,0.2716498104729051,736,29.185470925400463,983458.1262221322,978393.0071095524,222058.22286173084,2840,0.3578203744424466,61346725.33961472,3.4929209211898495,0.49323650203469543,16166.389151575766,0.45286878217855686
Financial Services,Software,USA,333117785.3179733,96239665.0123574,21929608.94022185,46278017.25094535,1988759.3109005052,580903010.1181153,300319627.3813784,280583382.7367369,0.2582435720629143,0.0780679194127825,0.0658313963011288,0.1176457277265215,52,24.649617022906167,83392787.15272039,106073478.04246289,14229696.533772364,4831,0.7062871043269687,1122080207.7636712,23.26979287905422,0.003423565167094124,6406111.256114871,0.48301244415945743
Consumer,Logistics,India,399424458.7209551,43201823.54514379,41908866.20331028,30497783.12465054,69419116.3020809,729062341.7570466,296207665.5699338,432854676.1871128,0.4058012238739505,0.1351764172747019,0.1049231344958485,0.2107724102319896,4150,34.964644006588344,27085315.921633136,35594837.014665715,10611256.124004724,4972,0.7349118870815193,1328866956.7331245,0.4393283111230896,0.09521698258996648,96246.85752312171,0.5937142153631598
Consumer,Business Services,Singapore,299244663.55944365,25897623.997931283,45469110.58680948,15861566.359241685,11509754.637691412,707908079.466626,200172237.8594916,507735841.60713446,0.3565960452858646,0.0807226790384117,0.1519462704730146,-0.003803974533858,2710,4.105025548241884,12620449.173543692,18819569.40828264,15375210.901310563,115,0.6126430741195558,917197016.6479232,1.3780976970003544,0.016258826493919163,110422.38507728548,0.717234138632361
Energy,Retail,Singapore,438127446.40613127,115132403.8740839,11810167.792444663,9484171.275027942,18939589.68835168,536249978.1250351,260411744.1256908,275838233.9993443,0.4289443341367558,0.0598508239855188,0.0269560099220467,0.0994456553838286,2532,21.90261205127021,51905826.8435122,128571726.12540592,5974888.854600989,2026,0.0892018274218879,1528581876.6334026,0.5007590677036126,0.03531858361015283,173036.11627414348,0.5143836741286137
Healthcare,Manufacturing,UK,489887486.8903634,122719985.07158372,70894756.7035588,32302922.16177961,62319708.36625032,503966243.01190126,235873345.64003003,268092897.37187123,0.482822578604728,0.2215144288245115,0.1447164065234126,0.1351197462374063,3925,26.303404307010183,65438181.20154775,94480178.20298287,21286301.64584936,1931,0.3752004317353965,1598108129.5140123,0.5183419981996175,0.12365849742991343,124812.09857079323,0.5319659820261814
Industrials,Healthcare Services,Germany,167110304.38421,24208604.68572081,21677370.75785852,15195385.491278622,75908634.13722724,394011277.50108594,173544321.60927138,220466955.89181456,0.3805986627525788,0.1570869579660006,0.1297189352729512,0.2894241955094498,1844,26.79831894128388,19420043.761885896,23394254.774281032,9074797.081235228,371,0.6614038460792617,598825343.356202,0.20017993557634672,0.19265599355089025,90623.80931898589,0.5595447858499607
Financial Services,Healthcare Services,India,431055938.8213176,35788725.07956008,50994244.51276151,5207239.537381763,58057250.26171415,406760967.4558669,271704087.3722629,135056880.08360392,0.2755743615207912,0.2417760491818161,0.1183007584867071,0.2703536704340386,2045,31.73971597592278,28543563.2213462,41980658.79018863,11956127.351172322,2972,0.5310683058224783,1357809715.6074347,0.08969145996250663,0.14273063274689282,210785.30015712354,0.33203008864968697
Consumer,Retail,Singapore,284650552.6788587,54968193.18143756,26915880.067377,26370272.887899578,61113871.20052704,614479707.6204767,274105023.5297289,340374684.09074783,0.5297763928374368,0.2362472471380203,0.0945576244769963,-0.0021065645995508,873,6.449935504204199,24397880.22780709,56558513.29654772,11187501.419104349,4608,0.6041082719777333,921591820.874856,0.431494067874924,0.09945628869858957,326060.19779937994,0.5539233922122855
Energy,Logistics,UK,382453412.7999729,44989423.49818257,29934905.073828325,16064779.020111011,12608931.889999973,402047164.052525,268593128.7314559,133454035.32106912,0.4408472204593143,0.1266639645554819,0.0782707228435286,0.2418742834709511,896,37.57331949986156,35548426.58215012,42275876.61499687,13900331.68306373,2769,0.8879683904318898,1651115813.3660307,1.2740792923825561,0.03136182273468964,426845.32678568404,0.33193626831212814
