ticker,company_name,sector,industry,market_cap,enterprise_value,total_revenue,ebitda,net_income,total_cash,total_debt,book_value,current_ratio,debt_to_equity,return_on_assets,return_on_equity,gross_margins,operating_margins,profit_margins,revenue_growth,earnings_growth,trailing_pe,forward_pe,price_to_book,beta,shares_outstanding
AAPL,Apple Inc.,Technology,Consumer Electronics,4214977462272,4238965735424,451442016256,159975997440.0,122575003648,68507000832,84710998016,5.998,1.07,79.548,0.26229,1.4147099,0.47862,0.32275,0.27152002,0.166,0.218,34.785458,30.020401,47.84595,1.065,14687356000
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,357679136768,425712680960,62819000320,30002749440.0,3595000064,5256999936,68400001024,-1.85,,,,,0.72026,0.31555998,0.05786,0.124,-0.458,99.61577,12.478618,-109.308105,0.305,1768762377
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,83483230208,75117010944,12241000448,2574000128.0,2511000064,11013999616,2271000064,13.62,1.377,27.698,0.07367,0.30233,0.82959,0.096829996,0.20513001,0.12,-0.237,34.84367,24.377243,10.309838,1.208,418897799
ADBE,Adobe Inc.,Technology,Software - Application,103394361344,100889714688,24452999168,9516000256.0,7208000000,6898999808,6670000128,28.16,0.912,58.34,0.18905,0.58774,0.89396006,0.38762,0.29477,0.12,0.111,14.90676,9.694421,9.083807,1.417,404200000
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,71764729856,124588556288,22432999424,9141000192.0,3654000128,516000000,51808002048,57.571,0.526,157.099,0.031689998,0.12585,0.47243,0.23738001,0.16289,0.102,0.067,19.511095,19.15781,2.2909973,0.552,544104955
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,40526311424,40778723328,26701000704,8316000256.0,3160999936,9592999936,9155999744,75.82,0.611,22.647,0.01885,0.07723,0.35534,0.18620001,0.118389994,0.014,0.216,13.456866,8.62386,1.0081112,0.541,530206221
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,667143962624,678811074560,37454000128,7430000128.0,4931999744,12346999808,3871000064,38.65,2.725,6.005,0.03647,0.08063,0.5306,0.14396,0.13374,0.378,0.912,136.83612,31.919899,10.58577,2.399,1630600639
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,177300897792,223987810304,37219999744,16917999616.0,7800000000,12037999616,57322999808,17.028,1.261,623.754,0.08347999,1.01318,0.71443003,0.33800998,0.20955999,0.058,0.044,22.848642,13.973907,19.282064,0.435,540000000
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2922437672960,3050548494336,742775980032,155860992000.0,90797998080,143088992256,235540004864,41.093,1.177,53.3,0.06845,0.24285,0.50604,0.1314,0.12224,0.166,0.748,32.49701,27.510166,6.611223,1.468,10757109436
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,586763730944,589672087552,33692700672,12704400384.0,10011100160,8376300032,2705600000,1.1407381,1.36,12.989,0.15664,0.52236,0.52603,0.36020002,0.29713,0.132,0.192,50.27774,31.878784,1334.5833,1.373,385417665
AVGO,Broadcom Inc.,Technology,Semiconductors,1965692289024,2066200264704,68281999360,37218000896.0,24971999232,14174000128,66056998912,16.865,1.902,82.704,0.10663,0.33370999,0.76725996,0.44943002,0.36571997,0.295,0.316,80.61553,22.914845,24.617256,1.44,4734668184
AXP,American Express Company,Financial Services,Credit Services,217232277504,226232877056,68811997184,,11086999552,53866999808,60458999808,49.846,1.574,177.847,0.03796,0.34419,0.62759,0.21245001,0.16305,0.116,0.176,19.860886,15.825155,6.387072,1.084,682326443
BA,The Boeing Company,Industrials,Aerospace & Defense,181782528000,210696355840,92184002560,-3259000064.0,1922000000,20177999872,49614000128,7.591,1.176,828.696,-0.02069,1.69947,0.048249997,0.01715,0.024600001,0.14,,91.14625,53.768456,30.37808,1.207,788302331
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,374167732224,360075264000,109590003712,,30256001024,845198983168,799901024256,38.664,,,0.00927,0.10644,0.0,0.35956,0.28956,0.081,0.244,13.083125,10.456911,1.3636715,1.221,7096590651
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,89792110592,-69741305856,20753999872,,5719000064,247720001536,80384000000,57.478,,,0.01196,0.13472,0.0,0.37647998,0.28722,0.134,0.418,16.23077,13.605358,2.2760015,1.068,686379000
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,133643288576,133579538432,27687000064,10378000384.0,6153999872,16024000512,19175999488,-11.185,1.057,,0.22259001,,0.86987,0.25035998,0.22227,0.162,2.4,22.783356,14.037792,-15.419758,1.102,774878436
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,63011241984,66547220480,27893000192,4821000192.0,3116000000,15934000128,16163999744,19.474,2.132,82.935,0.05011,0.17184,0.23643999,0.12282,0.11171,0.025,1.325,20.292332,22.78516,3.261528,0.97,992068697
BLK,"BlackRock, Inc.",Financial Services,Asset Management,165956976640,173225771008,25638000640,10242499584.0,6255000064,14257000448,14995999744,360.407,,24.367,,,0.46890998,0.35638002,0.24396999,0.27,0.459,26.892624,17.609762,2.963802,1.456,155364965
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,114652094464,151537811456,48482000896,18973999104.0,7274999808,10485999616,46428999680,9.828,1.42,230.967,0.10689,0.38731998,0.71981,0.33040002,0.15006,0.026,0.092,15.7268915,9.135953,5.7127595,0.259,2042071247
C,Citigroup Inc.,Financial Services,Banks - Diversified,226764242944,-344284430336,78734000128,,14698000384,1332288946176,749207027712,112.224,,,0.0060900003,0.07649,0.0,0.34078,0.20356001,0.169,0.561,16.023485,10.419079,1.1551006,1.124,1705600000
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,412579856384,469288353792,70755000320,14520000512.0,9429999616,3316000000,43065999360,40.27,1.353,230.793,0.08495,0.51331,0.28604,0.17806,0.13328,0.222,0.302,44.54301,30.566193,22.243855,1.625,460591983
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,124832776192,148617166848,60987998208,14488999936.0,11299000320,7497999872,25138999296,189.933,0.386,31.458,0.03364,0.15433,0.30998,0.20641,0.18527001,0.102,0.787,11.388889,11.00272,1.6945449,0.44,387860106
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,22653480960,120239538176,54635999232,21974999040.0,4933000192,517000000,96822001664,133.228,0.401,459.525,0.054130003,0.27504998,0.55346,0.23879999,0.09029,-0.01,0.089,4.342625,3.6289163,1.2044016,0.757,141178369
