sector,business_model,funding_stage,country,arr,mrr,revenue_growth,gross_margin,burn_rate_monthly,runway_months,customer_count,churn_rate,net_revenue_retention,employee_count,cac,ltv,logo_retention,active_users,arpu,valuation,arr_per_employee,ltv_to_cac_ratio,burn_multiple
SaaS,Marketplace,Series A,UK,38720406.82294257,3226700.568578548,0.905812957516502,0.8292989599556913,703420.6684781766,6.1078524802924345,10534,0.1926735284776847,1.2716385831661725,585,2736.6499269758083,68107.5047464395,0.8038234467851227,182958,6474.264688798579,212348225.57372653,66188.72961186765,24.88718197935646,0.2179999828084616
Edtech,Subscription,Series C,Singapore,27773780.87209016,2314481.7393408464,0.1744436494031419,0.813815585996291,639031.1111396236,28.01689542281733,4552,0.0950862323511683,1.3824188146369418,270,15611.993242060484,30001.167469943168,0.8306818810435695,893174,533.6572812935649,149359647.0260501,102865.8550818154,1.92167438230223,0.27610116782412664
Edtech,Marketplace,Series C,Germany,48378735.64846708,4031561.3040389232,0.6853594483693963,0.5852298530174345,480164.6950502918,9.25255484978143,9264,0.124169182294224,0.9361456094305304,82,13462.317094713704,66135.63591197728,0.9331498948961944,629949,3192.4297496822064,212804113.511841,589984.5810788668,4.91264879936211,0.11910142469351769
Healthtech,Subscription,Series B,UK,14487572.38611918,1207297.6988432652,1.3808662327512022,0.4698762418046549,215910.03842560612,3.242954901783182,7755,0.1988618506005132,1.1989105139552192,285,15658.434814234965,69378.45055521265,0.8592475348668103,705312,1483.9902814638087,70467184.41082811,50833.58731971642,4.430739813927074,0.17883744716193337
Fintech,Fintech SaaS,Seed,UK,28305281.713411324,2358773.4761176105,1.5417477719612498,0.7173591600002954,562507.8126448359,21.45383630459865,15900,0.0173962802963054,1.0620304335394173,185,4448.776521826678,61870.767914970784,0.9389528605150864,35175,677.1971427217536,224815518.72930852,153001.52277519635,13.90736702808495,0.2384747065965349
Healthtech,Subscription,Series A,UK,27895904.40182979,2324658.7001524824,1.5786015077575064,0.7321567701636937,418259.12421126914,29.862672693979142,13241,0.0500735007778489,0.8136272438803164,68,14502.715141809716,69819.70730745672,0.7451560981294084,90502,5060.343273523299,187396379.23885345,410233.8882622028,4.814250754065648,0.17992280939298058
Edtech,Subscription,Seed,India,19112959.18221448,1592746.598517873,0.6379485738383592,0.7151412965594443,374576.3583423226,5.892447337431333,6858,0.2408554394918834,1.345148414424564,75,14054.20124945284,40614.624257468415,0.9713693856573626,263893,7197.212872674057,94113018.59721074,254839.45576285972,2.8898564590463387,0.23517636684384305
Edtech,B2B SaaS,Series B,UK,45139859.5875377,3761654.9656281415,0.9387637651755416,0.5011816823976152,319837.49166763946,22.11424577508257,1936,0.0524254679054156,1.3139685704554251,16,14445.366527828548,65381.86292649045,0.875646475396684,758640,5882.5698922360825,283014455.72216386,2821241.224221106,4.526147730522056,0.08502573856191813
Technology,Marketplace,Series B,India,2176547.275708434,181378.93964236957,1.013282097526812,0.5649306061663927,161633.70508872595,6.412297934844204,3511,0.0509423124488526,1.3550720710260782,354,11705.01056606782,52683.600875690725,0.8654563376147967,295105,9589.736211090309,14072448.350187726,6148.438631944729,4.500944324511554,0.8911382181824645
Fintech,Marketplace,Seed,India,24384250.7088242,2032020.8924020168,1.0068786389913158,0.8689132274874914,580293.4913285539,18.62515023487948,1663,0.0740741591420544,0.9989413984055312,329,8890.446914039925,4220.199902169234,0.9313617387744202,520912,8971.99164121369,163144303.40136352,74116.26355265714,0.47468928648622055,0.28557456938476605
SaaS,B2C SaaS,Series C,Singapore,33644780.642686605,2803731.720223884,0.5984058784860663,0.7297113173459508,732454.722001145,28.365367233282683,6420,0.2298428428330259,0.9381283945369284,69,940.7686122883596,83673.01793933102,0.8038582394814828,310300,8101.689573436588,158995420.4548452,487605.51656067546,88.94112414720315,0.261242798916102
Technology,Subscription,Seed,Singapore,25801350.748662557,2150112.5623885463,0.5491319266068254,0.8680217850244817,181315.6612303778,4.482050439946857,5825,0.1144232944007291,1.395425338433502,95,15022.438785247594,133728.0811409002,0.9501650591154016,891731,5236.697767825845,146259402.11854064,271593.16577539535,8.901888904498282,0.08432845070629946
SaaS,Fintech SaaS,Series B,USA,18745520.67079813,1562126.7225665112,0.2342100027199548,0.773394805674513,277211.3056044074,33.91483396761471,18955,0.0394619037787566,1.2986676032749436,148,3235.029469164982,27710.977915503125,0.8678271816258362,720066,2044.7031905742751,123751923.523721,126658.92345133872,8.565912051075014,0.1774576297811233
