sector,business_model,funding_stage,country,arr,mrr,revenue_growth,gross_margin,burn_rate_monthly,runway_months,customer_count,churn_rate,net_revenue_retention,employee_count,cac,ltv,logo_retention,active_users,arpu,valuation
SaaS,Marketplace,Series A,UK,38720406.82294257,3226700.5685785473,0.905812957516502,0.8292989599556913,703420.6684781766,6.1078524802924345,10534,0.1926735284776847,1.2716385831661723,585,2736.6499269758083,68107.5047464395,0.8038234467851227,182958,6474.264688798579,212348225.57372653
Edtech,Subscription,Series C,Singapore,27773780.872090157,2314481.7393408464,0.1744436494031419,0.813815585996291,639031.1111396236,28.016895422817335,4552,0.09508623235116839,1.3824188146369418,270,15611.993242060485,30001.167469943168,0.8306818810435695,893174,533.6572812935649,149359647.0260501
Edtech,Marketplace,Series C,Germany,48378735.64846708,4031561.3040389232,0.6853594483693963,0.5852298530174345,480164.6950502918,9.25255484978143,9264,0.12416918229422409,0.9361456094305305,82,13462.317094713704,66135.63591197728,0.9331498948961945,629949,3192.4297496822064,212804113.511841
Healthtech,Subscription,Series B,UK,14487572.386119181,1207297.6988432652,1.3808662327512022,0.4698762418046549,215910.03842560615,3.242954901783182,7755,0.19886185060051323,1.1989105139552192,285,15658.434814234965,69378.45055521265,0.8592475348668103,705312,1483.9902814638087,70467184.41082811
Fintech,Fintech SaaS,Seed,UK,28305281.713411324,2358773.4761176105,1.5417477719612498,0.7173591600002954,562507.8126448359,21.453836304598646,15900,0.01739628029630546,1.0620304335394173,185,4448.776521826678,61870.767914970784,0.9389528605150865,35175,677.1971427217536,224815518.72930855
Healthtech,Subscription,Series A,UK,27895904.40182979,2324658.7001524824,1.5786015077575064,0.7321567701636937,418259.12421126914,29.862672693979142,13241,0.05007350077784894,0.8136272438803164,68,14502.715141809716,69819.70730745672,0.7451560981294084,90502,5060.343273523299,187396379.23885342
Edtech,Subscription,Seed,India,19112959.182214476,1592746.598517873,0.6379485738383592,0.7151412965594443,374576.35834232264,5.892447337431333,6858,0.24085543949188348,1.345148414424564,75,14054.20124945284,40614.624257468415,0.9713693856573626,263893,7197.212872674057,94113018.59721074
Edtech,B2B SaaS,Series B,UK,45139859.5875377,3761654.9656281415,0.9387637651755416,0.5011816823976152,319837.49166763946,22.114245775082566,1936,0.052425467905415614,1.3139685704554251,16,14445.366527828548,65381.86292649045,0.875646475396684,758640,5882.5698922360825,283014455.72216386
Technology,Marketplace,Series B,India,2176547.2757084346,181378.93964236954,1.013282097526812,0.5649306061663927,161633.70508872595,6.412297934844204,3511,0.05094231244885267,1.3550720710260782,354,11705.01056606782,52683.600875690725,0.8654563376147967,295105,9589.736211090309,14072448.350187726
Fintech,Marketplace,Seed,India,24384250.708824202,2032020.8924020168,1.0068786389913158,0.8689132274874914,580293.4913285539,18.625150234879477,1663,0.07407415914205445,0.9989413984055313,329,8890.446914039925,4220.199902169234,0.9313617387744202,520912,8971.99164121369,163144303.40136352
SaaS,B2C SaaS,Series C,Singapore,33644780.642686605,2803731.7202238836,0.5984058784860663,0.7297113173459508,732454.722001145,28.365367233282683,6420,0.2298428428330259,0.9381283945369285,69,940.7686122883596,83673.01793933102,0.8038582394814828,310300,8101.689573436588,158995420.4548452
Technology,Subscription,Seed,Singapore,25801350.748662554,2150112.5623885463,0.5491319266068254,0.8680217850244817,181315.6612303778,4.482050439946857,5825,0.1144232944007291,1.395425338433502,95,15022.438785247594,133728.0811409002,0.9501650591154016,891731,5236.697767825845,146259402.11854064
SaaS,Fintech SaaS,Series B,USA,18745520.670798134,1562126.7225665112,0.2342100027199548,0.773394805674513,277211.3056044074,33.91483396761471,18955,0.03946190377875664,1.2986676032749436,148,3235.029469164982,27710.977915503125,0.8678271816258362,720066,2044.7031905742751,123751923.52372101
Technology,Subscription,Series C,India,25086985.191496883,2090582.0992914068,0.330600129974939,0.4069681438541008,245062.90939887817,7.350133186955194,19436,0.1726380816670858,0.8730995027771187,181,13946.396225729151,87586.37477391445,0.7559371824648161,506576,8060.832809204401,53416319.66548244
Edtech,Subscription,Series A,India,6275314.802152196,522942.90017934964,1.8587469744626899,0.5987890969124703,314929.71794532094,19.1232734966006,10172,0.2393495816912728,0.971867736129233,399,18511.206900378136,4704.064216552191,0.8554554518515108,148634,1148.3842971324575,30790210.69885387
Edtech,Subscription,Seed,UK,29842523.406395204,2486876.9505329337,1.8693952821204118,0.8021804578064854,478033.9695241857,28.897193825322187,19324,0.014280828154477057,0.8654863980594409,176,15976.978348838202,35663.470552998624,0.848615485367735,829513,6099.556624930108,281645807.7098942
Healthtech,B2C SaaS,Seed,Germany,18771783.766018417,1564315.3138348681,0.8804700684283443,0.7259655127899871,870140.8191172783,17.978597108517892,10625,0.06679896711941948,1.2476085681460678,152,16368.061515793426,16686.43389826462,0.7186364799474498,475683,1547.115117507713,144200990.9197422
SaaS,Marketplace,Series B,Germany,46056426.57712377,3838035.548093647,0.3727868593337924,0.5423600411689677,170541.12728821745,6.811172100956714,2885,0.015075523920745609,0.8332372454985562,120,1256.9622660180726,89080.42860053471,0.8906000675038618,175054,3996.9415226370797,174166490.69296214
SaaS,Subscription,Pre-Seed,Germany,42571468.178428076,3547622.34820234,0.1347763709249443,0.49074920479826206,252009.9736823081,11.229790002462991,12854,0.10990298216876614,0.8295524719565565,344,7597.559941499518,79039.18935892795,0.7284681328130405,93774,614.4224780045321,143991932.4322739
